rms,mav,zc,ssc,wavelength,participant,muscle_group
652.445087178237,288.981328345342,27152,48576,19495684.74995184,subject 7,Vastus-Medialis-isom
373.6141353095199,175.14557803636893,25895,47049,10818761.20934757,subject 7,Vastus-Medialis-isot
651.440075209138,302.27965090298244,25153,44416,16969254.992120706,subject 8,biceps-isom
1758.2294466234082,742.4610032974794,22099,40819,39171065.17986484,subject 8,biceps-isot
869.3210946107916,290.3203680297607,34479,52605,22427143.707456287,subject 8,triceps-isot
1186.0437512506412,491.8728740327379,33894,52179,39216567.89109459,subject 8,triceps-isom
958.0935236115275,484.5488901421215,26262,44675,33630368.98662815,subject 8,Gastrocnemius-Medialis-isom
1777.5896538057161,643.0920615269479,30771,49859,43984169.3668877,subject 8,Gastrocnemius-Medialis-isot
581.0757091536335,269.4851086711065,29126,48830,17114706.044012338,subject 8,Vastus-Medialis-isom
499.2349934176023,187.60989169674062,25877,47226,11107426.741612699,subject 8,Vastus-Medialis-isot
765.4625608256197,352.6383608384577,33586,48745,21446546.919563595,subject 9,biceps-isom
541.0429566690851,231.13996623717586,30447,48422,14751625.499373503,subject 9,biceps-isot
939.929192250145,325.0433405560119,34788,54638,27048003.69600283,subject 9,triceps-isot
1291.800076979273,523.0302510363009,35283,52008,42752422.941534095,subject 9,triceps-isom
875.141409909689,417.20164999644487,34528,49743,40647162.976497956,subject 9,Gastrocnemius-Medialis-isom
1554.3211431366697,526.3169344425359,23978,47877,48410748.93505745,subject 9,Gastrocnemius-Medialis-isot
789.8263096006898,349.6128414859314,25318,47794,23949568.22435293,subject 9,Vastus-Medialis-isom
544.5025242978714,223.79208647720685,24533,47098,12941160.982315186,subject 9,Vastus-Medialis-isot
431.24009741593403,212.88249794241054,22398,40205,10803958.217571395,subject 10,biceps-isom
548.3446098664723,248.36089664736312,20727,38846,12628139.351400938,subject 10,biceps-isot
1655.3252360221793,458.56299696162574,27709,46286,34737275.59475163,subject 10,triceps-isot
1609.7051535055664,666.0274071423352,30704,45542,59405720.509502225,subject 10,triceps-isom
850.1754388643819,425.82175554748727,23142,40334,33543263.96846756,subject 10,Gastrocnemius-Medialis-isom
610.8075614258603,294.93515171071556,21786,40246,20488839.80191818,subject 10,Gastrocnemius-Medialis-isot
1222.5131956904822,599.594312653535,29393,43422,40776829.5395612,subject 10,Vastus-Medialis-isom
881.5751697225611,369.3713923831524,33228,49092,25750527.57684129,subject 10,Vastus-Medialis-isot
875.7380333565728,449.3666026959555,27719,40596,27167764.19674154,subject 11,biceps-isom
716.5875321857211,343.4355812490686,27789,41340,19827245.661288437,subject 11,biceps-isot
1035.6963595728514,317.8386098519801,33531,50206,31145051.850515343,subject 11,triceps-isot
1942.2496342881427,954.9576593618951,30431,44649,95997435.87396194,subject 11,triceps-isom
711.3929267720974,355.62542278946063,23701,45556,32282898.173806477,subject 11,Gastrocnemius-Medialis-isom
616.0221233648219,307.2613554691318,20898,41331,20911667.477313004,subject 11,Gastrocnemius-Medialis-isot
622.8309583126659,294.8467374922402,25335,47145,22427751.89276994,subject 11,Vastus-Medialis-isom
438.85469742353945,172.4524537228016,26070,48732,11624209.154917525,subject 11,Vastus-Medialis-isot
2521.306870196823,1142.3983644373384,29585,44336,70985284.40640931,subject 12,biceps-isom
737.53302990421,295.8414812700589,31679,48400,16905122.153517857,subject 12,biceps-isot
451.7209430429094,217.48253604045019,29183,45291,15796462.74934025,subject 12,triceps-isot
1222.6976929200812,577.1074125618682,31064,46330,41657382.17181792,subject 12,triceps-isom
453.87700181994285,278.4102183553347,27673,41611,23628135.90925678,subject 12,Gastrocnemius-Medialis-isom
383.43449762518475,153.08580518160875,24429,49499,11492210.544027707,subject 12,Gastrocnemius-Medialis-isot
387.94282525311576,188.68537445590155,32531,49438,15271567.584812121,subject 12,Vastus-Medialis-isom
214.66092592783022,105.66808029278243,30873,49423,8509936.241209436,subject 12,Vastus-Medialis-isot
2109.530370144759,854.7687697523361,26236,42840,40199333.70833002,subject 13,biceps-isom
1325.4644226701,572.6470871717704,26146,42070,29402688.154841416,subject 13,biceps-isot
804.0915677952131,405.03519724196354,17693,33892,25826934.3010693,subject 13,triceps-isot
1043.2439035763796,528.4013005445577,18482,37946,34188038.44758925,subject 13,triceps-isom
355.0050206792302,185.497668658428,21450,44852,14864627.625936722,subject 13,Gastrocnemius-Medialis-isom
534.6288274215228,256.57861268807517,15942,38430,17796319.50275657,subject 13,Gastrocnemius-Medialis-isot
1745.108011219636,727.2111467479447,31710,48222,36999660.18904862,subject 13,Vastus-Medialis-isom
784.7450839821133,277.4372149491594,30311,48907,14969315.003297037,subject 13,Vastus-Medialis-isot
1565.7749734437812,678.8873907845662,24662,39549,33246572.219413597,subject 14,biceps-isom
739.2559583211755,334.21157541511593,24989,41404,19710770.511807177,subject 14,biceps-isot
1248.8036855793189,462.57255813797894,20605,41825,36674039.53305206,subject 14,triceps-isot
1276.8713944831593,572.1413096773517,24055,43409,53893553.12831358,subject 14,triceps-isom
861.890919812356,441.3430489892548,24099,44211,47062392.56464246,subject 14,Gastrocnemius-Medialis-isom
705.6846199605412,317.3454346520521,25011,45448,31255047.516893703,subject 14,Gastrocnemius-Medialis-isot
765.0946113091834,303.81396705995627,31150,47477,19306997.42226954,subject 14,Vastus-Medialis-isom
571.9227195110038,193.01292507048,26561,47090,11975453.477722792,subject 14,Vastus-Medialis-isot
1673.0546208306268,754.8164482010166,16186,36434,37599316.0688095,subject 15,biceps-isom
608.5736962633746,291.1883061711244,16392,36635,14083132.74762095,subject 15,biceps-isot
1453.8327165469184,550.0020860104825,13291,29137,33411495.237005774,subject 15,triceps-isot
1418.0059473192441,687.9963208215214,13997,29421,44649889.78336385,subject 15,triceps-isom
668.25123943902,337.4682393772056,21387,43707,32333392.077124275,subject 15,Gastrocnemius-Medialis-isom
777.3844819580245,317.4744790738693,18366,45356,26308839.85481869,subject 15,Gastrocnemius-Medialis-isot
1745.108011219636,727.2111467479447,31710,48222,36999660.18904862,subject 15,Vastus-Medialis-isom
978.3486107327135,310.54796522689145,33035,48982,15169000.767999135,subject 15,Vastus-Medialis-isot
1272.8517480498579,543.520187314558,21665,42531,24502228.030953486,subject 16,biceps-isom
1197.2750600143524,509.496483063032,22932,38351,26505533.36937204,subject 16,biceps-isot
1358.4564285803608,468.23446054581325,29247,46375,38369050.12371278,subject 16,triceps-isot
894.0665459355272,293.21395765938973,34406,50846,26596111.301272202,subject 16,triceps-isom
714.789858899965,307.57806302584237,34888,52550,28015926.49014447,subject 16,Gastrocnemius-Medialis-isom
820.6954397147089,364.4941139825161,32176,47318,36020860.05826207,subject 16,Gastrocnemius-Medialis-isot
1097.81388318187,433.5994340951704,25211,44213,21350714.721755784,subject 16,Vastus-Medialis-isom
392.09557708263196,164.52457296314134,21363,44376,7680600.037600598,subject 16,Vastus-Medialis-isot
1044.940716092788,493.2808853671307,22739,35474,29115218.797576886,subject 17,biceps-isom
442.0550900571945,223.75178815860988,25670,44288,13423168.514347514,subject 17,biceps-isot
368.28480914356436,154.20108899732284,31085,47346,12944536.144117858,subject 17,triceps-isot
450.15237824408877,219.68930857924488,32875,49043,20163263.148187485,subject 17,triceps-isom
817.802580654408,386.8120102352005,38635,53290,44166514.531594686,subject 17,Gastrocnemius-Medialis-isom
672.7469052964473,324.70933817625547,36769,49744,33926624.93060511,subject 17,Gastrocnemius-Medialis-isot
306.7945720469293,146.1598168138616,38929,52391,12664178.842565631,subject 17,Vastus-Medialis-isom
287.6563396459403,117.32950854336859,37194,51800,9036670.910107259,subject 17,Vastus-Medialis-isot
2530.021001580865,1133.4458963252414,31782,45327,61165437.92170167,subject 18,biceps-isom
617.6361478465022,306.4389054297209,29482,45572,18976153.480152123,subject 18,biceps-isot
435.1080897099191,156.9117529488328,31353,50908,13326159.89451153,subject 18,triceps-isot
1203.9194171845993,563.0497080836076,30293,45029,54428760.72152659,subject 18,triceps-isom
983.2629020515208,444.42251882934795,25660,50435,41238314.30839412,subject 18,Gastrocnemius-Medialis-isom
280.00311734025087,108.58665697427303,30639,51896,9602869.061405774,subject 18,Gastrocnemius-Medialis-isot
1234.110514403523,542.3101220010097,36943,50355,34177669.440429695,subject 18,Vastus-Medialis-isom
801.8557041210718,227.14759981222463,38858,53617,15266338.836588316,subject 18,Vastus-Medialis-isot
